feature,median_importance,q1,q3,iqr
protective_behaviour_nomask_scale,0.10746029320928624,0.10637138984087158,0.10879125548410612,0.0024198656432345422
age,0.08873563942814633,0.08821688863106054,0.08943147673915355,0.0012145881080930093
week_number,0.08638301333973959,0.08587407370812877,0.08697470435125107,0.0011006306431222967
i2_health,0.0698679481454767,0.06939578887715961,0.0704094053523146,0.0010136164751549936
r1_1,0.06038822135261822,0.05964342886981759,0.060884081022677554,0.0012406521528599626
cantril_ladder,0.05359523614236375,0.05330543581654235,0.05396973088478486,0.0006642950682425042
r1_2,0.05172647683774954,0.05125270715699622,0.05222489212856544,0.0009721849715692149
household_size,0.04201818187485737,0.04173692077710777,0.042269905922003616,0.000532985144895845
gender_Male,0.017385859054396775,0.017262355587498127,0.01751902476560467,0.00025666917810654444
WCRex2_A lot of confidence,0.014836167925395351,0.014691593142323255,0.014969631165428087,0.00027803802310483183
